"macho","(m; ndm) <hiszp. macho, czyt. maczo> prawdziwy, stuprocentowy mężczyzna, samiec"
"kardynalny","(przym.) <fr. cardinal, wł. cardinale, z łac. cardinalis osiowy, główny, od cardo oś, punkt zwrotny> główny, zasadniczy, podstawowy: kardynalny błąd, zasada"
"carat","(m) <od car> ustrój monarchistyczny w Rosji; rządy cara i carski aparat państwowy"
"palestra","(ż) <łac. palaestra, z gr. palaístra miejsce ćwiczeń gimnastycznych> zespół adwokatów, adwokatura: należeć do palestry, palestra warszawska ? palestrant"
"brytan","(m) <łac. Britannus mieszkaniec wyspy Brytanii> 1. silny, duży pies z Wysp Brytyjskich; 2. pot. o dużym psie podwórzowym"
"populacjonizm","(m) <od populacja> kierunek ekonomiczno-demograficzny, popularny zwłaszcza w XVIII w., postulujący wzrost liczby ludności jako główne źródło siły i bezpieczeństwa narodów; przeciwny maltuzjanizmowi"
"depersonifikacja","(ż) <de-+ personifikacja> lit. figura stylistyczna, w której o człowieku mówi się tak jak o zwierzętach (skowyt zam. płacz kogo; zdechł zam. umarł), zabieg „odczłowieczenia”; pozbawienie osobowości"
"szajry","(lm) <ang. shires hrabstwa środkowej Anglii> zootechn. rasa najcięższych i największych koni pociągowych, wyhodowana w XIX w. w hrabstwach środkowej Anglii"
"kainowy","(przym.) <od im. Kain, wg Biblii pierworodny syn Adama, pierwszy bratobójca> bratobójczy kainowe piętno piętno zbrodni, zabójstwa brata albo rodaka"
"﻿Yale","(ndm) <amer. nazwa firmowa> zamek do drzwi, z płaskim kluczem ? yale’owski zamek"
"tamburyn","(m) <fr. tambourin, wł. tamburino> muz. instrument perkusyjny w postaci małego, płaskiego bębenka z błoną napiętą na obręczy, w której zawieszone są blaszki brzęczące przy uderzaniu w błonę lub potrząsaniu, używany przez tancerzy prowansalskich, włoskich i hiszpańskich; bębenek baskijski"
"mirt","(m) <gr. mýrtos> krzew mający zimotrwałe, wonne liście i owoce korzenno-słodkie, z których wytwarza się olejek; z gałązek mirtu robi się wianki"
"prywatka","(ż) <od prywatny, z łac.> pot. wieczorek taneczny w prywatnym mieszkaniu, połączony z poczęstunkiem: iść na prywatkę, urządzić prywatkę"
"smecz","(m) <ang. smash> w tenisie lub badmintonie szybkie uderzenie wysokiej piłki; ścinka, ścięcie ? smeczować, smeczowy"
"palin","-<gr. pálin> pierwszy człon wyrazów złożonych, mający znaczenie: a) w tył, wstecz: palindrom; b) przeciwnie, odwrotnie: palinodia, c) znowu, jeszcze raz, na powrót: palingeneza"
"trybadyzm","(m) <od trybada> homoseksualne stosunki między kobietami"
"orientacja","(ż) <fr. orientation, od orienter> 1. świadomość tego, gdzie, w jakim miejscu przestrzeni się jest, gdzie znajduje się określona strona świata: orientacja przestrzenna, mieć zmysł orientacji; 2. sytuowanie w stosunku do czego; trafne rozumienie i interpretowanie sytuacji; 3. skłanianie się ku jakiemuś kierunkowi w polityce: orientacja prawicowa  orientacyjny"
"pingwin","(m) <niem. Pinguin, ang. penguin> nielatający morski ptak regionów arktycznych, o upierzeniu czarno-białym"
"koncepcja","(ż) <łac. conceptio ujęcie> ogólna teoria, pomysł, ogólny projekt, plan działania: mieć jakąś koncepcję czego; myślenie koncepcyjne ? koncept, konceptualny, koncypować, wykoncypować co"
"dekolt","(m) <fr. décolleté odsłonięta szyja; od collet kołnierzyk> wycięcie u sukni, swetra, koszuli odsłaniające szyję: opalać sobie dekolt; mieć, nosić głęboki dekolt  dekoltować się"
"ług","(m) <niem. Lauge> 1. pot. środek wybielający, zawierający sodę z dodatkiem soli; 2. chem. wodny roztwór wodorotlenku sodu lub potasu: ług sodowy, ług potasowy  ługować co"
"tenorino","(n) <wł. mały tenor> 1. słaby głos tenorowy, wykorzystywany np. w operach do ról charakterystycznych; 2. głos kastrata"
"cekinowy","(przym.) <od cekin> ornament cekinowy motyw dekoracyjny w postaci płaskich krążków, zachodzących na siebie, nawleczonych na sznur, rozpowszechniony w Europie w okresie renesansu i baroku"
"mizantropijny","(przym.) <od mizantropia> niechętny ludziom, zgorzkniały"
"monogram","(m) <z gr. mono + gramma litera> napis powstały z ozdobnego powiązania dwu lub kilku liter czyjegoś imienia i nazwiska: chusteczka, papierośnica z monogramem, haftować, malować, ryć monogram (czyj, na czym)"
"enumeracja","(ż) <łac. enumeratio> numerowanie, wymienienie, wyliczenie w kolejności  enumeracyjny"
"falset","(m) <wł. falsetto> wysoki głos męski, bliski sopranowi: mówić, śpiewać falsetem  falsetować"
"lapidarny","(przym.) <niem. lapidar, fr. lapidaire, z łac. lapidarius kamienny; litterae lapidariae napis wyryty na kamieniu (nagrobnym)> zwięzły, wyrazisty, treściwy: lapidarna odpowiedź, wypowiedź, ocena"
"biandria","(ż) <wg bigamia, -andria od gr. andr, andrós mąż> prawo zawarcia przez kobietę nowego związku małżeńskiego bez rozwiązania poprzedniego; dwumęstwo"
"intronizacja","(ż) <niem. Inthronisation, fr. intronisation, wł. intronizzazione> 1. wprowadzenie na tron królewski; 2. wybór na papieża"
"recydywista","(m) <fr. récidiviste> osoba popełniająca po raz drugi lub kolejny takie samo przestępstwo jak to, za które już była karana ? recydywa"
"precjoza","(lm) <łac. pretiosus kosztowny, drogi> biżuteria, kosztowności, klejnoty: rodzinne precjoza"
"dancing","zob. dansing"
"sago","(n; ndm) <mal. sagu> kaszka, mączka jadalna z rdzenia pnia i gałęzi niektórych drzew z rodziny sagowców"
"lingwista","(m) <niem. Linguist, ang. linguist, od łac. lingua język> specjalista w dziedzinie lingwistyki; językoznawca"
"erem","(m) <p.-łac. eremus pustynia, z gr. ér?mos kraj bezludny> miejsce samotnej medytacji zakonników; pustelnia  eremita"
"deficyt","(m) <ang., wł. deficit, łac. deficit brakuje> brak, niedobór, niedostateczna ilość czego; brak pieniędzy na pokrycie wydatków: deficytowe towary, przedsiębiorstwa"
"motywować","<od motyw fr. motiver, z łac.> przedstawiać motywy działania lub rozumowania, popierać coś dowodami, argumentami; uzasadniać, tłumaczyć"
"dykcja","(ż) <łac. dictio> indywidualny sposób wymawiania wyrazów: mieć dobrą/ złą dykcję"
"romantyk","(m) <fr. romantique> 1. przedstawiciel romantyzmu; artysta, w którego twórczości znajdują odbicie idee romantyzmu; 2. człowiek o usposobieniu romantycznym, poetycznym; idealista, marzyciel, fantasta ? romantyczny, romantyka"
"motokros","(m) <ang. moto-cross> sport zawody motocyklowe, rozgrywane w trudnym terenie, na trasie o zamkniętym obwodzie długości 1,5–4 km"
"sowchoz","(m) <skr. ros. sow(ietskoje) choz(iajstwo) gospodarstwo radzieckie> państwowe gospodarstwo rolne w ZSRR: pracować w sowchozie ? sowchozowy"
"sos","(m) <fr. sauce> dodatek do niektórych potraw, płynny lub półpłynny, zawiesisty, o różnych smakach: sos pomidorowy, chrzanowy, majonezowy; sos czekoladowy, malinowy, waniliowy; ostry, łagodny sos, ryba w szarym sosie ? sosik, sosjerka"
"mister","(m) <ang.> pan; forma grzecznościowa, stosowana w krajach anglosaskich wobec mężczyzn"
"rusyfikacja","(ż) <fr. russification> narzucanie kultury rosyjskiej, języka jako przejaw polityki wynaradawiania"
"rabin","(m) <niem. Rabbiner, fr. rabbin, z aram. rabbi mistrz(u) mój, rabb?n> duchowy przywódca gminy żydowskiej; doktor prawa żydowskiego w dawnej Palestynie ? rabinacki, rabinat, rabiniczny"
"chromatyka","(ż) <gr. chromatikos barwny> 1. nauka o barwach; sztuka doboru kolorów, mieszania farb dla uzyskania żądanego odcienia; 2. muz. zasada doboru dźwięków przez podwyższanie lub obniżanie ich barwy: znaki chromatyczne"
"triumfować","<łac. triumpho> 1. odnosić zwycięstwo, sukces; 2. mieć nad kimś przewagę, cieszyć się, być dumnym z osiągniętego sukcesu, przewagi nad kimś; 3. hist. odprawiać triumf przysługujący zwycięskiemu wodzowi"
"konsulting","(m) <ang. consulting, z łac. consulto doradzam> udzielanie porad w sprawach związanych z produkcją, wymianą, kupnem i sprzedażą towarów; doradztwo techniczne"
"komunikatywny","(przym.) <od komunikat; fr. communicatif> 1. o tekście, dziele sztuki itp.: zrozumiały, jasny; 2. odnoszący się do przekazywania myśli, porozumiewania się"
"transport","(m) <fr., z łac. transportare przenieść, przewieźć> 1. przewóz ludzi i ładunków różnymi środkami lokomocji2. środki lokomocji służące do przewozu; 3. dział gospodarki, obejmujący ogół środków i działań związanych z przewozem; 4. konwojowana grupa ludzi przewożonych; 5. ładunek wysłany, dostarczony dokądś: transport dalekomorski, drzewny, morski, transport czego: bydła, broni, książek, towarów, otrzymać transport czego, używać czego (samochodu, samolotu) do transportu, jechać z (pierwszym) transportem  transporter, transportować"
"ekosfera","(ż) biol. obszar wokół jakiegoś ciała niebieskiego, w którym warunki fizyczne i chemiczne dopuszczają możliwość istnienia życia"
"garnitur","(m) <niem. Garnitur, fr. garniture, od garnir ubierać> 1. ubranie składające się ze spodni i marynarki: garnitury męskie; 2. komplet różnych przedmiotów: garnitur stołowy, garnitur zębów"
"destrukt","(m) <łac. destructus zniszczony> 1. pieniądz wycofany z obiegu; 2. bibl. egzemplarze książki lub czasopisma uszkodzone w druku w stopniu uniemożliwiającym włączenie do zbioru; 3. poligr. arkusz uszkodzony podczas druku"
"dystrybucja","(ż) <ang., fr. distribution, z łac. dis-tributio> rozdzielanie środków; rozprowadzanie towarów: wadliwa dystrybucja czego  dystrybutor, dystrybuować (co)"
"kabura","(ż) <ros. koburá, z tur. kubur kołczan> skórzany futerał na broń, mocowany przy pasie wojskowym, policyjnym: kabura pistoletu"
"saksy","(lm) <od Saksonia, kraina we wschodnich Niemczech> okresowa praca zarobkowa poza granicami Polski, często nielegalna: wyjechać na saksy"
"galareta","(ż) <łac. caro galerita (dosł. mięso w peruce), od łac. galerus rodzaj czapki, peruka> 1. zastygła, półstała potrawa z mięsa, ryb lub owoców; także: skrzepły roztwór żelatyny: trząść się jak galareta; 2. chem. żel, półprzezroczysta, elastyczna masa, łatwo przechodząca w zol; liożel"
"anion","(m) <gr. ánodos w górę> jon dodatni  anoda"
"retman","(m) <niem. Rotte drużyna + Mann człowiek> starszy flisak, kierujący spławem drzewa po rzekach"
"kontynuator","(m) <fr. continuateur, z łac. continuo ciągnę dalej> 1. osoba kontynuująca coś, wykonująca rozpoczętą przez kogoś pracę; wykonawca rozpoczętego dzieła; 2. następca, naśladowca, rozwijający, realizujący myśli, idee, pracę poprzednika"
"geszeft","(m) <niem. Geschäft> interes; działalność handlowo-kupiecka na niezbyt wielką skalę: mieć, prowadzić własny geszeft; pot. nieuczciwe interesy, spekulacje finansowe ? geszefciarz"
"horda","(ż) <z tur. orda obóz wojskowy> wrzaskliwy, agresywny tłum, tłuszcza; stado drapieżników: hordy wilków, najeźdźców, hordy nieprzyjacielskie"
"eliminować","(kogo, co) <fr. éliminer, z łac. e-limino wyrzucam za próg> usuwać, nie dopuszczać, wykluczać z czego, likwidować: eliminować przeciwników, usterki  eliminacja, wyeliminować (kogo z czego/skąd)"
"arenda","(ż) <łac. arendo dzierżawię> przest. dzierżawa, najem nieruchomości (lasu, pól, łąk, także karczmy) z prawem do korzystania z części dochodów z tego najmu (tak jak dziś ajencja)  arendarz, arendować"
"sopran","(m) <wł. soprano> 1. najwyższy głos żeński o różnej barwie: sopran dramatyczny; sopran liryczny; sopran koloraturowy; 2. śpiewaczka o takim głosie, sopranistka; 3. instrument o skali zbliżonej do skali głosu sopranowego (np. odmiana saksofonu)"
"hunwejbin","(m) <chiń.> 1. uczestnik niesławnej rewolucji kulturalnej w Chinach (2. poł. lat 60. XX w.), w wyniku której zniszczono wiele dóbr kultury; 2. przen. ten, kto niszczy, bezmyślnie i z pasją psuje coś"
"konstans","zob. constans"
"żyro","-<fr. gyro-, od gr. gýros koło> pierwszy człon wyrazów złożonych, wskazujący na ich związek znaczeniowy z kołem, krę-wirującego koła napędowego o dużej bezgiem, wirowaniem: żyrokompas, żyropilot władności"
"hermafrodyta","(ż) <fr. hermaphrodite, łac. hermaphroditus obupłciowy, z gr. Herm-aphróditos imię mitycznego syna Hermesa i Afrodyty> 1. biol. zwierzę mające gruczoły rozrodcze męskie i żeńskie; . med. organizm z wrodzoną wadą rozwojową, posiadający jądra i jajniki lub mający tylko zewnętrzne narządy płciowe obu płci; obojnak"
"Graal","(m) <fr.> legendarny kielich, z którego Jezus miał pić podczas ostatniej wieczerzy; występuje jako częsty motyw średniowiecznych legend rycerskich: Legenga o św Graalu"
"ozonować","<od ozon> chem. poddawać coś (np. wodę) działaniu ozonu w celach dezynfekcyjnych"
"areopag","(m) <gr. Áreios págos wzgórze Aresa> 1. w starożytnych Atenach (na wzgórzu Aresa) najwyższy trybunał polityczny, którego członków nazywano areopagitami; . przen. grono osób uważanych za autorytety w jakiejś dziedzinie, których opinie rozstrzygają kwestie sporne, oceniając coś w sposób autorytatywny  areopagita"
"trapiści","(m; lm) <fr. trappistes, od nazwy opactwa La Trappe w Normandii> w Ko ściele katolickim: zakon kontemplacyjny o surowej regule"
"tombak","(m) <fr. tombac, z mal. tambaga miedź> stop miedzi i cynku o barwie od złotożółtej do czerwonej, odporny na korozję, używany do wyrobu taniej biżuterii, instrumentów muzycznych; sztuczne złoto: pierścionek z tombaku  tombakowy: tombakowa bransoletka"
"leserować","<od leser> pot. uchylać się od pracy"
"huragan","(m) <fr. (h)ouragan, z hiszp. huracán, w końcu podobno z dial. Indian karaibskich> potężny i gwałtowny, niszczycielski wiatr: huraganowy atak"
"semantyka","(ż) <fr. sémantique; z gr. sémeíon znak> 1. jęz. badanie języka z punktu widzenia znaczenia słów i zdań (np. polisemia, synonimia, zmiany znaczenia, relacje między jednostkami znaczącymi): semantyka strukturalna; 2. log. dział semiotyki zajmujący się badaniem związków między wyrażeniami języka a przedmiotami, do których się odnoszą ? semantyczny, semazjologia, semazjologiczny"
"lazur","(m) <niem. lasur, wł. lazuro, fr. l’azur, z łac. lazurium błękit> błękit, kolor niebieski: lazur morza, nieba, oczu  lazurowy, lazuryt"
"szampański","(przym.) <od szampan> 1. pełen temperamentu, błyskotliwy, wesoły: szampański humor humor doskonały, świetny; 2. wino szampańskie"
"marynować","<fr. mariner> konserwować mięso, ryby, owoce, jarzyny itp. w zalewie z dodatkiem przypraw: marynować co – w czym, marynować grzyby, korniszony, mięso"
"hipokorystyczny","(przym.) <gr. hypokoristikós> jęz. mający charakter spieszczenia, zdrobnienia; pieszczotliwy, zdrobniały"
"walor","(m) <fr. valeur, od łac. valeo jestem silny, zdrowy> 1. wartość, znaczenie, zaleta: ktoś, coś ma duże walory; 2. przest papiery wartościowe, pieniądze, kosztowności"
"arlekinada","(ż) <wł. arlecchinata> <arlekin> 1. pogard. błazenada, błazeńskie żarty; 2. hist. teatr. pantomima w stylu dell’arte z udziałem arlekina i innych postaci z ludowych przedstawień tego typu"
"identyczny","<fr. identique, łac. kośc. identicus, od p.-łac. identitas tożsamość, od łac. idem to samo> taki sam: ten dom jest identyczny, jak nasz ? identyczność"
"wariabilizm","(m) <łac. variabilis zmienny> teoria zmienności, pogląd filozoficzny uznający powszechność stałych zmian wszystkiego"
"pesymista","(m) <fr. pessimiste, od łac. pessimus najgorszy> człowiek skłonny do pesymizmu, dostrzegający tylko ujemne strony życia"
"satori","(n; ndm) <jap.> w buddyzmie zen: nagłe olśnienie, uświadomienie sobie czegoś, stan świadomości osiągnięty dzięki medytacjom, ćwiczeniom duszy, objawienie"
"kombatant","(m) <fr. combattant> 1. były uczestnik walki zbrojnej, ruchu oporu, partyzantki; 2. przen. człowiek, który niegdyś położył wielkie zasługi w tworzeniu czegoś ważnego ? kombatancki, kombatanctwo"
"stopować","<ang. stop> 1. sprawiać, że coś się zatrzyma, ustanie; zatrzymywać, hamować, zwalniać; 2. sport. w boksie: powstrzymywać natarcie przeciwnika przez zadanie ciosu"
"annały","(m; lm) <łac. annales> przest. książk. roczniki, kroniki  annalista, annalistyka"
"charyzmat","(m) <łac. kośc. charisma łaska boża, z gr. kośc.> 1. rel. a) według teologii: dar łaski bożej, b) typ żarliwości religijnej wyróżniający daną osobę od otoczenia; 2. socjol. wyjątkowe zdolności przypisane jednostce, rodzące jej autorytet u innych"
"dyskredytacja","(ż) <od dyskredytować> skompromitowanie, zdyskwalifikowanie, odebranie zaufania; popadnięcie w niełaskę"
"machina","(ż) <łac. machina, z gr. m?chan> . wielka, ciężka maszyna; 2. przen. coś złożonego, o skomplikowanym mechanizmie i działaniu: machina wojny, biurokratyczna machina"
"alofon","(m) <gr. alo + fon dźwięk> jęz. wariant tej samej głoski wymawiany różnie w zależności od otoczenia głoskowego (ze względu na upodobnienia) lub zależnie od osobniczych cech mówiącego (np. dziecko niewymawiające jeszcze głoski r mówi l)"
"trybularz","(m) <łac. (kośc.) turibularium, od łac. turibulum> kadzielnica kościelna"
"konsens","zob. consensus"
"algol","<ang. skrót: algorithmic language język algorytmiczny> inform. jeden z uniwersalnych międzynarodowych języków programowania (składa się z liter, wyrazów angielskich oraz znaków i symboli matematycznych)"
"cinquecento","(n) <wł. pięćset jako skrót od cyfry 1500> w dziejach kultury włoskiej nazywa się tak wiek XV (w Polsce określany jako wiek XVI), epokę dojrzałego renesansu i manieryzmu włoskiego"
"opresja","(ż) <łac. oppressio> trudne położenie: być w opresji, popaść w opresję"
"bakburta","(ż) <ang. backbord> 1. żegl. lewa burta statku, 2. żarg. bakbort"
"kurkuma","(ż) <łac. curcuma, z arab. kurkum> bot. Curcuma, roślina z rodziny imbirowatych (Zingiberaceae), o barwnych kwiatach zebranych w szyszkowate kwiatostany, występująca w kilkudziesięciu gatunkach w Afryce, Azji i Australii; niektóre gatunki uprawiane ze względu na kłącza, z których otrzymuje się barwnik, leki i przyprawy; ostryż"
"muzealny","(przym.) <od muzeum; z łac.> . należący do muzeum, dotyczący muzeum; 2. mający wartość zabytkową, artystyczną, kwalifikujący się do umieszczenia w muzeum  muzealia, muzealnictwo"
"sowietyzacja","(ż) <od Sowiety; z ros. sowiét rada> 1. narzucanie krajom i narodom radzieckiego systemu ustrojowego, połączone z indoktrynacją ideologiczną; 2. przejmowanie tego systemu prowadzące do ukształtowania szczególnego typu mentalności społecznej ? zsowietyzowany"
"sztormiak","(m) <od sztorm> strój nieprzemakalny, noszony zwłaszcza przez żeglarzy i marynarzy"
"cyborium","(n; odm. w lm) <łac. ciborium kubek metalowy w kształcie strąka, gr. kiborion strąk> rel. tabernakulum jako część ołtarza w kościele katolickim"
"żakiet","(m) <fr. jaquette, zdr. od jaque kaftan, z ar. przez hiszp.> górna część kostiumu damskiego, odpowiednik marynarki"
"frycowe","(przym.) <niem.> cena za brak doświadczenia, przykrość, którą trzeba przeżyć, zaczynając pracę, działalność w jakiejś dziedzinie: zapłacić frycowe"
"diplodok","<diplo-+ gr. dokós belka> paleont. Diplodocus, olbrzymi roślinożerny gad kopalny, zaliczany do dinozaurów"
"para","<gr. pará przy, obok, poza (czymś)> pierwszy człon wyrazów złożonych, mający znaczenie niby, prawie: paramilitarny, parapsychologia"
"folia","(ż) <niem. Folie, z wł. foglia, od łac. folium liść> cienki arkusz sztucznego tworzywa do pakowania, owijania, oklejania różnych przedmiotów: woreczki foliowe, zawinąć w folię, zafoliować"
"modelowy","(przym.) <od model> stanowiący model, służący jako wzór; wzorcowy, zgodny z modelem: modelowy przykład czegoś"
"panoramiczny","(przym.) dający wrażenie panoramy; szeroki, rozległy: film panoramiczny wyświetlany na szerokim ekranie, dający wrażenie przestrzenności; zdjęcie panoramiczne zdjęcie pokazujące teren pod kątem ponad 100°"
"aojda","(m) <gr. aoidos> 1. w staroż. Grecji śpiewak-poeta, który opiewał waleczne czyny bogów i herosów (jak trubadurzy, truwerzy czy minezingerzy w średniowiecznej Europie); 2. żart. o współczesnych poetach śpiewających piosenki tzw. zaangażowane, protest songi (także w stylu rap)  aojdowski, aojdyczny"
"boom","(m) <ang.> 1. ekon. nagły wzrost koniunktury gospodarczej; sztuczna podwyżka kursów na giełdzie; 2. pot. dobry okres na coś: boom truskawkowy"
"banalizować","<fr. banaliser> uznawać coś za banalne, niewarte uwagi, lekceważyć; czynić coś banalnym; zbanalizować co"
"pornografia","(ż) <fr. pornographie opis życia prostytutek; od gr. pórn? kobieta sprzedajna (od pérn?mi wystawiam na sprzedaż)> produkcja literacka, piśmiennicza, filmowa o treści erotycznej, mająca wywołać podniecenie seksualne: porno biznes, porno shop ? pornograficzny"
"bibosz","(m) <od łac. bibo piję> przestarz. złoty młodzieniec, mężczyzna pijący alkohol w wesołym towarzystwie; birbant, hulaka"
"feniks","(m) <gr. phoíniks> 1. w mitologii egipskiej: ptak o złocistoszkarłatnych piórach, który się odradza co pięćset lat z własnych popiołów (po spaleniu się w gnieździe od słońca); w sztuce przedstawiany na tle tarczy słonecznej lub w płomieniach; u Greków: symbol duszy odradzającej się do nowego życia; 2. astr. gwiazdozbiór nieba południowego (niewidoczny w Polsce); 3. bot. Phoenix, roślina z rodziny arekowatych (Arecaceae), występująca w tropikalnej Afryce i Azji; w Polsce hodowana jako roślina doniczkowa"
"jubilat","(m) <n.-łac. iubilatus, za wł. giubilato emeryt> ten, kto obchodzi jakiś jubileusz ? jubilatka"
"pirs","(m) <ang. piers; lm od pier molo, falochron; przystań> 1. betonowy, kamienny lub drewniany pomost w porcie, służący do cumowania statków, przeładunku towarów itp.; 2. pas suchego terenu między basenami portu"
"ergometr","(m) <ergo-+ -metr> sport. techn. przyrząd służący do mierzenia wielkości wykonywanej pracy mięśni, wydajności pracy silników itp."
"forsować się","<fr. forcer nadwerężyć się> męczyć się, wysilać się nadmiernie: forsowny trening  przeforsować się (czym)"
"grandilokwencja","(ż) <wł. grandiloquenza> krasomówstwo, używanie wielkich słów, skłonność do napuszonych przemówień ? grandilokwentny"
"polemizować","<fr. polémiser> brać udział w polemice, dyskutować z kimś, mając odmienne zdanie"
"dezynfekcja","(ż) <łac.> odkażanie: przeprowadzić dezynfekcję  wydezynfekować, zdezynfekować (co)"
"envoi","<fr.> lit. zakończenie utworu poetyckiego, będące dedykacją lub bezpośrednim zwrotem do określonej osoby; przesłanie"
"dekada","(ż) <niem. Dekade, fr. décade, łac. decada, gr. dekás ~ádos dziesiątka, od déka dziesięć> okres dziesięciu dni lub dziesięciu lat  dekadowy, dekadówka"
"antypody","(ż; lm) <łac. antipodes> 1. obszary na przeciwległych krańcach Ziemi, w okolicy obu biegunów: coś leży na antypodach; 2. przen. o czymś krańcowo różnym, zwłaszcza o biegunowo odmiennych poglądach: coś mieści się, znajduje się, leży na antypodach  antypodyczny"
"rewanż","(m) za co <fr. revanche> 1. odwzajemnienie się za coś czymś podobnym, czasem odwet: dać komu rewanż za co, wziąć na kim rewanż ? rewanżować się, zrewanżować się, rewanżowanie się, rewanżowy, rewanżysta, rewanżyzm; 2. sport. powtórne spotkanie tych samych zawodników, zespołów dające pokonanemu możliwość odniesienia zwycięstwa: rewanż tenisowy, rozgrywać rewanż w hokeju ? rewanżowy: spotkanie rewanżowe"
"wolontariusz","(m) <fr. volontaire> osoba odbywająca bezpłatną praktykę w celu zapoznania się z zawodem> wolontariat"
"farys","(m) <arab. f?ris śmiałek> hist. arabski wojownik, rycerz; przen. człowiek brawurowo odważny (Farys – bohater i tytuł poematu G. Byrona, w tłum. A. Mickiewicza)"
"pretensjonalny","(przym.) <od pretensja> 1. pełen pretensji, mający przesadnie wysokie mniemanie o sobie; krygujący się; 2. nienaturalny, sztuczny, wymuszony: pretensjonalne zachowanie"
"cytostatyk","(m) <gr. cyto + statyk> lek hamujący podział komórek (stosowany w leczeniu nowotworów): lek cytostatyczny"
"alkohol","o spirytusie i wódkach (eufemistycznie, jako o środku leczniczym), napój o właściwościach odurzających otrzymywany z rozcieńczonego spirytusu etylowego lub przez destylację przefermentowanych soków, moszczów gronowych, owocowych itp.> alkoholik, alkoholowy> pot. żart. zaalkoholizowany"
"kaloryczny","(przym.) <od kaloria, fr. calorique> zawierający kalorie, bogaty w kalorie ? kaloryczność"
"legitymacja uczniowska,","członkowska; okazać legitymację; 2. uprawnienie do występowania w czyim imieniu: rząd posiada legitymację społeczeństwa  legitymować kogo, legitymować się czym"
"komik","(m) <niem. Komiker, fr. comique, łac. (actor, scriptor) comicus> 1. aktor grający role komiczne; rzadziej klown cyrkowy; 2. człowiek z dużym poczuciem humoru, rozśmieszający otoczenie; wesołek, żartowniś"
"derywat","(m) <łac. derivatus pochodny, odchylony> jęz. wyraz utworzony od innego wyrazu lub formy gramatycznej za pomocą środków słowotwórczych; wyraz pochodny"
"skecz","(m) <ang. sketch> scenka, zwykle wesoła, dowcipna, grana w ogródkowych teatrzykach estradowych, kabaretach: występować w skeczach ? skeczowy: tekst, autor, artysta skeczowy"
"akuszerka","(ż) <fr. accoucheur> przest. położna, osoba pomagająca kobiecie rodzącej  akuszer"
"papirologia","(ż) <od gr. pápyros papirus + -logia> nauka zajmująca się odczytywaniem staroż. tekstów, zapisanych na papirusie, pergaminie, tabliczkach i skorupach glinianych"
"kino","(m) <od kinematograf z gr. kinema ruch; ang., fr. cinema> 1. kinematografia, sztuka filmowa: kino światowe, kino polskie; 2. budynek, w którym wyświetla się filmy ? kinowy: sala kinowa"
